epoch;nb_episodes;r_mean;r_var;r_std
262;1;-100.0;0.0;0.0
264;1;-100.0;0.0;0.0
266;1;-100.0;0.0;0.0
268;1;-100.0;0.0;0.0
270;1;-100.0;0.0;0.0
272;1;-100.0;0.0;0.0
274;1;-100.0;0.0;0.0
276;1;-100.0;0.0;0.0
278;1;-100.0;0.0;0.0
280;1;-100.0;0.0;0.0
282;1;-100.0;0.0;0.0
284;1;-100.0;0.0;0.0
286;1;-100.0;0.0;0.0
288;1;-100.0;0.0;0.0
290;1;-100.0;0.0;0.0
292;1;-100.0;0.0;0.0
294;1;-100.0;0.0;0.0
296;1;-100.0;0.0;0.0
298;1;-100.0;0.0;0.0
300;1;-100.0;0.0;0.0
302;1;-100.0;0.0;0.0
304;1;-100.0;0.0;0.0
306;1;-100.0;0.0;0.0
308;1;-100.0;0.0;0.0
310;1;-100.0;0.0;0.0
312;1;-100.0;0.0;0.0
314;1;-100.0;0.0;0.0
316;1;-100.0;0.0;0.0
318;1;-100.0;0.0;0.0
320;1;-100.0;0.0;0.0
322;1;-100.0;0.0;0.0
324;1;-100.0;0.0;0.0
326;1;-100.0;0.0;0.0
328;1;-100.0;0.0;0.0
330;1;-100.0;0.0;0.0
332;1;-100.0;0.0;0.0
334;1;-100.0;0.0;0.0
336;1;-100.0;0.0;0.0
338;1;-100.0;0.0;0.0
340;1;-100.0;0.0;0.0
342;1;-100.0;0.0;0.0
344;1;-100.0;0.0;0.0
346;1;-100.0;0.0;0.0
348;3;-100.0;0.0;0.0
350;1;-100.0;0.0;0.0
352;1;-100.0;0.0;0.0
354;1;-100.0;0.0;0.0
356;1;-100.0;0.0;0.0
358;1;-100.0;0.0;0.0
360;1;-100.0;0.0;0.0
362;1;-100.0;0.0;0.0
364;1;-100.0;0.0;0.0
366;1;-100.0;0.0;0.0
368;1;-100.0;0.0;0.0
370;1;-100.0;0.0;0.0
372;1;-100.0;0.0;0.0
374;1;-100.0;0.0;0.0
376;1;-100.0;0.0;0.0
378;1;-100.0;0.0;0.0
380;1;-100.0;0.0;0.0
382;1;-100.0;0.0;0.0
384;1;-100.0;0.0;0.0
386;1;-100.0;0.0;0.0
388;2;-100.0;0.0;0.0
390;1;-100.0;0.0;0.0
392;1;-100.0;0.0;0.0
394;1;-100.0;0.0;0.0
396;1;-100.0;0.0;0.0
398;1;-100.0;0.0;0.0
400;1;-100.0;0.0;0.0
402;1;-100.0;0.0;0.0
404;1;-100.0;0.0;0.0
406;1;-100.0;0.0;0.0
408;1;-100.0;0.0;0.0
410;1;-100.0;0.0;0.0
412;3;-100.0;0.0;0.0
414;1;-100.0;0.0;0.0
416;3;-100.0;0.0;0.0
418;1;-100.0;0.0;0.0
420;1;-100.0;0.0;0.0
422;1;-100.0;0.0;0.0
424;1;-100.0;0.0;0.0
426;1;-100.0;0.0;0.0
428;1;-100.0;0.0;0.0
430;2;-100.0;0.0;0.0
432;1;-100.0;0.0;0.0
434;1;-100.0;0.0;0.0
436;1;-100.0;0.0;0.0
438;1;-100.0;0.0;0.0
440;1;-100.0;0.0;0.0
442;1;-100.0;0.0;0.0
444;1;-100.0;0.0;0.0
446;1;-100.0;0.0;0.0
448;1;-100.0;0.0;0.0
450;1;-100.0;0.0;0.0
452;1;-100.0;0.0;0.0
454;1;-100.0;0.0;0.0
